position,style,point_id,x_m,y_m,weight,x_norm,y_norm,pitch_length_m,pitch_width_m,data_type
CF,Poacher,1,99.057,34.187,0.851,0.9434,0.50275,105,68,synthetic_role_based_positional_model
CF,Poacher,2,86.064,34.977,0.96,0.81966,0.51437,105,68,synthetic_role_based_positional_model
CF,Poacher,3,91.852,36.106,1.214,0.87478,0.53097,105,68,synthetic_role_based_positional_model
CF,Poacher,4,94.584,32.051,1.166,0.9008,0.47134,105,68,synthetic_role_based_positional_model
CF,Poacher,5,88.344,20.109,0.15,0.84137,0.29572,105,68,synthetic_role_based_positional_model
CF,Poacher,6,81.858,29.374,1.123,0.7796,0.43197,105,68,synthetic_role_based_positional_model
CF,Poacher,7,96.599,36.887,1.014,0.91999,0.54246,105,68,synthetic_role_based_positional_model
CF,Poacher,8,92.843,32.779,1.232,0.88422,0.48204,105,68,synthetic_role_based_positional_model
CF,Poacher,9,92.248,32.586,1.234,0.87855,0.47921,105,68,synthetic_role_based_positional_model
CF,Poacher,10,85.359,22.251,1.122,0.81294,0.32722,105,68,synthetic_role_based_positional_model
CF,Poacher,11,89.367,33.345,1.191,0.85111,0.49037,105,68,synthetic_role_based_positional_model
CF,Poacher,12,92.537,24.127,0.967,0.8813,0.35481,105,68,synthetic_role_based_positional_model
CF,Poacher,13,97.624,39.034,0.478,0.92975,0.57403,105,68,synthetic_role_based_positional_model
CF,Poacher,14,82.884,30.529,1.127,0.78937,0.44896,105,68,synthetic_role_based_positional_model
CF,Poacher,15,92.986,37.261,1.157,0.88558,0.54796,105,68,synthetic_role_based_positional_model
CF,Poacher,16,91.875,30.168,1.132,0.875,0.44365,105,68,synthetic_role_based_positional_model
CF,Poacher,17,93.336,24.477,0.51,0.88891,0.35996,105,68,synthetic_role_based_positional_model
CF,Poacher,18,86.523,34.452,0.94,0.82403,0.50665,105,68,synthetic_role_based_positional_model
CF,Poacher,19,85.914,30.903,1.165,0.81823,0.45446,105,68,synthetic_role_based_positional_model
CF,Poacher,20,96.086,43.613,0.377,0.9151,0.64137,105,68,synthetic_role_based_positional_model
CF,Poacher,21,88.508,23.763,1.157,0.84293,0.34946,105,68,synthetic_role_based_positional_model
CF,Poacher,22,86.542,38.616,0.841,0.82421,0.56788,105,68,synthetic_role_based_positional_model
CF,Poacher,23,97.228,39.722,0.769,0.92598,0.58415,105,68,synthetic_role_based_positional_model
CF,Poacher,24,88.656,37.703,1.051,0.84434,0.55446,105,68,synthetic_role_based_positional_model
CF,Poacher,25,84.302,28.613,1.22,0.80288,0.42078,105,68,synthetic_role_based_positional_model
CF,Poacher,26,87.244,32.624,1.054,0.8309,0.47976,105,68,synthetic_role_based_positional_model
CF,Poacher,27,95.506,25.747,0.739,0.90958,0.37863,105,68,synthetic_role_based_positional_model
CF,Poacher,28,78.254,47.26,0.532,0.74528,0.695,105,68,synthetic_role_based_positional_model
CF,Poacher,29,93.034,29.726,1.095,0.88604,0.43715,105,68,synthetic_role_based_positional_model
CF,Poacher,30,96.008,19.907,0.414,0.91436,0.29275,105,68,synthetic_role_based_positional_model
CF,Poacher,31,92.373,34.338,1.248,0.87974,0.50497,105,68,synthetic_role_based_positional_model
CF,Poacher,32,87.122,31.552,1.012,0.82973,0.464,105,68,synthetic_role_based_positional_model
CF,Poacher,33,86.559,33.487,1.011,0.82437,0.49246,105,68,synthetic_role_based_positional_model
CF,Poacher,34,88.673,40.341,0.84,0.8445,0.59325,105,68,synthetic_role_based_positional_model
CF,Poacher,35,84.495,35.455,1.067,0.80471,0.5214,105,68,synthetic_role_based_positional_model
CF,Poacher,36,94.661,30.586,1.1,0.90153,0.44979,105,68,synthetic_role_based_positional_model
CF,Poacher,37,95.376,24.246,0.398,0.90834,0.35656,105,68,synthetic_role_based_positional_model
CF,Poacher,38,87.218,39.441,0.83,0.83065,0.58001,105,68,synthetic_role_based_positional_model
CF,Poacher,39,84.64,49.242,0.862,0.8061,0.72415,105,68,synthetic_role_based_positional_model
CF,Poacher,40,91.051,28.107,1.101,0.86715,0.41334,105,68,synthetic_role_based_positional_model
CF,Poacher,41,95.818,34.063,1.133,0.91255,0.50093,105,68,synthetic_role_based_positional_model
CF,Poacher,42,100.58,25.722,0.15,0.9579,0.37826,105,68,synthetic_role_based_positional_model
CF,Poacher,43,96.99,31.815,1.013,0.92371,0.46787,105,68,synthetic_role_based_positional_model
CF,Poacher,44,86.455,31.875,0.968,0.82338,0.46875,105,68,synthetic_role_based_positional_model
CF,Poacher,45,87.402,38.298,1.199,0.8324,0.56321,105,68,synthetic_role_based_positional_model
CF,Poacher,46,78.089,26.898,0.902,0.7437,0.39556,105,68,synthetic_role_based_positional_model
CF,Poacher,47,93.925,37.969,1.094,0.89452,0.55837,105,68,synthetic_role_based_positional_model
