club,season,revenue_gbp,wage_cost_gbp,operating_result_gbp,pre_tax_profit_loss_gbp,net_funds_debt_gbp,wage_to_revenue_pct,operating_margin_pct,net_debt_gbp,net_debt_to_revenue_pct
AFC Bournemouth,2024/25,183915000,158422000,-8821000,14887000,-37996000,86.13870538020281,-4.796237392273605,37996000,20.659543810999647
AFC Bournemouth,2023/24,161360000,136170000,-2625000,11286000,-118846000,84.38894397620228,-1.626797223599405,118846000,73.65270203272186
Arsenal,2024/25,690859000,346804000,121516000,-1348000,37776000,50.198955213726684,17.589117316268588,-37776000,0.0
Arsenal,2023/24,612759000,327822000,118062000,-17687000,49097000,53.49933660705106,19.267281263922683,-49097000,0.0
Aston Villa,2024/25,370269000,273376000,-32768000,-96710000,-102849000,73.8317277438835,-8.84978218538414,102849000,27.77683251906047
Aston Villa,2023/24,272242000,252049000,-49648000,-85165000,-24926000,92.5827021547006,-18.236715863092396,24926000,9.155824597233343
Brentford,2024/25,174751000,130778000,-935000,-20527000,-130095000,74.83676774381834,-0.5350470097452947,130095000,74.44592591744825
Brentford,2023/24,168706000,114371000,3110000,-7873000,-90877000,67.79308382630138,1.843443623818951,90877000,53.867082379998344
Brighton & Hove Albion,2024/25,222372000,164552000,-20049000,-130931000,-127062000,73.99852499415394,-9.015973234040258,127062000,57.139388052452645
Brighton & Hove Albion,2023/24,222549000,146222000,2451000,-9815000,49761000,65.70328332187518,1.1013304935092945,-49761000,0.0
Chelsea,2024/25,490857000,359265000,-83813000,-262444000,49009000,73.19137752950452,-17.07483034773875,-49009000,0.0
Chelsea,2023/24,468486000,338021000,-22903000,128400000,-267171000,72.15178255059917,-4.888726664190606,267171000,57.02859850667896
Crystal Palace,2024/25,196623000,148292000,10425000,-35646000,-93828000,75.41945754057257,5.302024686837247,93828000,47.71974794403503
Crystal Palace,2023/24,189224000,133712000,23341000,40973000,-84494000,70.6633408024352,12.335116052931975,84494000,44.652898152454235
Everton,2024/25,196697000,156209000,-17962000,-8609000,-389401000,79.41605616760805,-9.131811873083983,389401000,197.96997412263534
Everton,2023/24,186902000,156631000,-17736000,-53222000,-567349000,83.8038116232036,-9.489465067254498,567349000,303.55426908219283
Fulham,2024/25,193825000,166507000,-25032000,-43955000,-117816000,85.90584289952277,-12.914742680252806,117816000,60.78472849219657
Fulham,2023/24,180686000,154754000,-12950000,-32386000,-96021000,85.64803028458209,-7.167129716746179,96021000,53.14246814916485
Ipswich Town,2024/25,155418000,77141000,25038000,4011000,-5115000,49.63453396646463,16.110103076863684,5115000,3.2911245801644595
Ipswich Town,2023/24,37306000,44528000,-33564000,-39280000,21281000,119.35881627620222,-89.96944191282904,-21281000,0.0
Leicester City,2024/25,186504000,152932000,-12894000,-71124000,-158729000,81.99931368764209,-6.913524642903102,158729000,85.1075580148415
Leicester City,2023/24,105348000,107164000,-33604000,-19430000,-218878000,101.72381060864943,-31.898090139347683,218878000,207.766640088089
Liverpool,2024/25,702722000,427727000,73367000,10521000,-348413000,60.8671708015403,10.440401752044194,348413000,49.580488443509665
Liverpool,2023/24,613764000,386086000,43445000,-62147000,-372491000,62.904634354572764,7.07845360757555,372491000,60.68961359740877
Manchester City,2024/25,696929000,408403000,76244000,-9916000,2027000,58.60037392618186,10.93999532233556,-2027000,0.0
Manchester City,2023/24,719474000,412573000,104597000,73757000,-9577000,57.343698312934166,14.537981914565362,9577000,1.3311113396731502
Manchester United,2024/25,666514000,330151000,148932000,-39664000,-559340000,49.53399328446214,22.34491698598979,559340000,83.92021772986014
Manchester United,2023/24,661755000,364719000,131126000,-130724000,-481713000,55.11390167055783,19.814886173886105,481713000,72.79325430106309
Newcastle United,2024/25,335322000,243477000,-9559000,34728000,-45613000,72.6099092812282,-2.850692766952362,45613000,13.602746017261023
Newcastle United,2023/24,320313000,218738000,28829000,-11079000,-34287000,68.28882998816782,9.000259121546737,34287000,10.704217437319121
Nottingham Forest,2024/25,218598000,168325000,12731000,-71088000,-351196000,77.00207687170057,5.823932515393553,351196000,160.6583774782935
Nottingham Forest,2023/24,174412000,166953000,-29056000,10100000,-282834000,95.72334472398688,-16.659404169437884,282834000,162.16430062151687
Southampton,2024/25,158362000,115813000,-9925000,-53935000,-98324000,73.13181192457786,-6.267286343946149,98324000,62.088127202232855
Southampton,2023/24,84775000,80865000,-37658000,17252000,-57825000,95.38779121203184,-44.42111471542318,57825000,68.20996756119139
Tottenham Hotspur,2024/25,564881000,255964000,43372000,-120628000,-850754000,45.31290661218911,7.6780773295614475,850754000,150.60765010683664
Tottenham Hotspur,2023/24,517763000,222015000,64137000,-26030000,-793090000,42.87965729493996,12.387327792831854,793090000,153.1762601808163
West Ham United,2024/25,229886000,175893000,-6950000,-104168000,-20342000,76.5131412961207,-3.0232376047258205,20342000,8.848733720191747
West Ham United,2023/24,271246000,160969000,47864000,57221000,32450000,59.34428526134947,17.64597450284981,-32450000,0.0
Wolverhampton Wdrs,2024/25,171975000,162951000,-34325000,-15345000,-67944000,94.75272568687309,-19.959296409361826,67944000,39.50806803314435
Wolverhampton Wdrs,2023/24,177697000,141925000,-6126000,-14325000,-72663000,79.86910302368638,-3.4474414312003017,72663000,40.89151758330191
